title,p10,q1,median,q3,p90,average,company_industry,correct_job_level,state
Controller,46000,55100,67400,82300,98600,70700,Finance,,
Finanzanalyst,46900,56100,68600,83800,100300,72000,Finance,,
Kassierer,29000,34600,41700,49700,58200,43300,Finance,,
Asset Manager,45800,55800,68100,83200,99700,71600,Finance,Senior,
Bilanzbuchhalter,41000,49500,60500,74000,88600,63600,Finance,,
Leitung Bilanzbuchhaltung/Buchhaltung,53200,67000,86400,111500,140300,93600,Finance,Lead,
Leitung Controlling,56000,70500,91000,117400,147700,98500,Finance,Lead,
Leitung Finanz- und Rechnungswesen,59400,74800,96500,124500,156600,104500,Finance,Lead,
Leitung Finanzanlagen,71800,90400,116600,150500,189300,126200,Finance,Lead,
Leitung Forderungsmanagement,46500,58500,75500,97500,122600,81800,Finance,Lead,
Leitung Kostenrechnung/Betriebsabrechnung,51600,64900,83700,108000,135900,90600,Finance,Lead,
Leitung Revision,62500,78600,101400,130900,164700,109800,Finance,Lead,
Leitung Riskmanagement,64000,80500,103800,134000,168500,112400,Finance,Lead,
Leitung Steuern,58600,73700,95100,122700,154400,103000,Finance,Lead,
Leitung Treasury,76500,96300,124200,160300,201700,134500,Finance,Lead,
Portfoliomanager,54600,65300,79800,97500,116800,83800,Finance,Senior,
Riskmanager,51600,61800,75500,92300,110500,79300,Finance,Senior,
Sachbearbeitung Buchhaltung,34600,41300,49300,58700,68800,51200,Finance,Junior,
Sachbearbeitung Controlling,36900,43800,52200,62300,73000,54300,Finance,Junior,
Sachbearbeitung Finanzen,36200,43000,51300,61100,71600,53200,Finance,Junior,
Sachbearbeitung Forderungsmanagement,31600,37600,44800,53500,62600,46600,Finance,Junior,
Sachbearbeitung Revision,40700,48300,57600,68700,80500,59900,Finance,Junior,
Sachbearbeitung Steuern,36200,43000,51300,61100,71600,53200,Finance,Junior,
Sachbearbeitung Treasury,38300,45500,54200,64600,75700,56300,Finance,Junior,
Spezialist Finanzen,46000,55100,67300,82200,98500,70700,Finance,Mid,
Spezialist Forderungsmanagement,39300,47100,57500,70200,84100,60400,Finance,Mid,
Spezialist Revision,53500,64100,78300,95600,114500,82200,Finance,Mid,
Spezialist Steuern,50300,60300,73600,90000,107700,77300,Finance,Mid,
Treasurer,56200,67300,82200,100500,120300,86300,Finance,,
Backend Entwickler,41000,50100,61800,75400,90400,64900,Information Technology IT,,
Data Analyst,45500,54500,66600,81400,97500,69900,Information Technology IT,,
Data Engineer,46000,55000,67300,82200,98400,70600,Information Technology IT,,
Data Scientist,47300,56700,69300,84600,101400,72800,Information Technology IT,,
Data Strategist,44700,53500,65400,79900,95700,68700,Information Technology IT,,
DevOps Engineer,44500,54300,67200,82100,98400,70600,Information Technology IT,,
Fachkraft IT,38000,45100,53800,64200,75200,55900,Information Technology IT,Junior,
Frontend Entwickler,40500,49500,61400,75000,89800,64500,Information Technology IT,,
iOS/App Entwickler,42900,52400,64500,78800,94400,67700,Information Technology IT,,
IT Anwendungsentwickler (Anwendungsprogrammierung),44100,52800,64500,78800,94400,67700,Information Technology IT,,
IT Architekt,59300,71000,86700,106000,126900,91100,Information Technology IT,,
IT Berater,44300,53100,64800,79200,94900,68100,Information Technology IT,,
IT Beschaffungsmanager/Lizenzmanager,41100,49300,60200,73600,88100,63300,Information Technology IT,Senior,
IT Business-Analyst,47900,57300,70000,85600,102500,73600,Information Technology IT,,
IT Content Manager,39500,47200,57700,70500,84500,60600,Information Technology IT,Senior,
IT Datenbankadministrator,45300,54200,66200,80900,96900,69500,Information Technology IT,,
IT Datenbankdesigner,47900,58600,71800,87700,105000,75400,Information Technology IT,,
IT Datenbankentwickler,40600,48600,59400,72600,87000,62400,Information Technology IT,,
IT Netzwerkarchitekt/-planer,49600,59400,72500,88600,106100,76200,Information Technology IT,,
